"CaseNumber","DateOfRequestReceived","Division-Branch","ApplicantCategory","Outcomes","ExemptionsApplied","DateOfResponseSent","DaysTakenToComplete","RequestWording"
"1831","2016-01-06","Consumer Protection","Legal","Not held","n/a","2016-01-13","5","Follow up to FOI 1824 On the 24th June 2015 the Foods Standards Agency (FSA) received an email from BBC Scotland - BBC Science on behalf of the television medical and health series Trust me, I'm a Doctor. The email was to request was related to testing carried out by the School of Pharmacy at University College London (UCL) to test a range of herbal products to see if the herbs in them where those declared on pack. From the results herbal food supplements tested demonstrated as much as 30% did not contain the herbal substance declared on pack. We understand following a number of FOI requests to the FSA that they provided the BBC your contact details on the 3rd July 2015. 1. Have the FCU received any contact over the UCL study results from the BBC or other organisations? 2. Can you please advise what action the FCU has taken in relation to these results demonstrating wide spread adulteration of foods supplements containing botanicals?"
"1832","2016-01-12","IT","Member of the Public","All provided","n/a","2016-01-19","5","Please can you send me the following contract information?1. Wi-Fi Provider- Who is the contracted supplier for the Wi-Fi contract.2. Average Annual Spend - Please state the annual average spend over three years for each supplier. If this is a new contract please state the estimate annual average spends. If there is more than one Wi-Fi provider please split annual for each individual provider.3. Number of Wi-Fi Users- Please state the number of users the Wi-Fi contract is in place for. An estimate number of users will also be acceptable. If there is more than one Wi-Fi provider please state the number of users for each individual provider.4. What is the contract Type: 1. WiFi= WiFi contract, 2. Managed=Part of a larger contract, 3. In-house=is the Wi-Fi managed and maintained in-house.4. Number of Locations/Site- I require the number of locations/sites the Wi-Fi contract is contracted for. If there is more than one Wi-Fi provider please state the number of sites for each individual provider.5. End User Offer- What the Wi-Fi offers to the end users e.g. Unlimited, Pay as you go, free 1 hour access or just free access. If there is more than one Wi-Fi provider please state the number of sites for each individual provider.6. Manufacturer Name/Brand- Please provides me with the brand names of the Wi-Fi equipment which many include manufacturers of the access points and routers. If there is more than one Wi-Fi provider please state the Manufacturers Name for each individual provider.7. Contract Description- Please provide me with a brief description of the solution in place for Wi-Fi and any other services provided under the contract. If there is more than one Wi-Fi provider please state the contract description for each individual provider.8. Actual Contract Start Date- Please can you state the Start date of the contract. If there is more than on Wi-Fi provider please split contract dates for each individual provider.9. Actual Contract Renewal/Expiry Date- Please can you state the renewal/expiry date of the contract. If the contract is coming up for renewal if possible please state the likely outcome of the Wi-Fi contract.10. Contact Details- I require the person from within the organisation responsible for the Wi-Fi contract. Can you please provide me with their full contact detail including contact number and an email address? If there is more than one Wi-Fi provider please state the contract details for each individual provider.If the organisation doesn't have a Wi-Fi contract in place please state when the organisation plans to have a Wi-Fi contract in place. Please do this by providing me with a month and year and if possible what type of solutions they plan to want in place and the number of locations. If this service is provided in-house please provide me with:1. Number of Users2. Number of Locations/Site3. End User Offer4. Manufacturer Name/Brand5. Contact Details- I require the person from within the organisation responsible for the Wi-FiIf the organisation has this service (Wi-Fi) as part of a managed service please can you provide me with the contract details of the managed contract including:1. Current Provider2. Number of Users- This is normally the total number of staff with the organisation.3. Contract Description- Please can you provide me with a brief contract description of the overall contract.4. Contract Expiry Date- Please 5. Contract Review Date6. Contact Details- I require the person from within the organisation responsible for the Wi-Fi contract. Can you please provide me with their full contact detail including contact number and an email address."
"1833","2016-01-12","Estates","Member of the Public","Not held","n/a","2016-01-18","4","I'm making the following request under the Freedom of Information Act 2000 in regards to surveillance devices supplied by 'OccupEye'. These were the same items introduced in the Daily Telegraph offices, later withdrawn. I am aware some government departments are reported to have recently installed them too. Please tell me: 1) Whether your department has installed these devices, and if so, how long ago? If so: 2) What the purpose of installing these devices is? (Requesting this information in the form of internal business cases, memos or other original material, rather than a summary of the justification.)3) Who decided that the devices would be deployed?Please provide me with: 4) Copies of any assessment of the legality of using the monitoring devices prior to their being installed.5) A copy of any information provided to staff, ministers or civil servants about the use of the devices, including details of arrangements for staff who objected to the devices' use.6) Any reports or other documents outlining the outcome of the study.If you have not installed the 'OccupEye' devices please tell me: 7) Whether there have been any such plans or considerations to, even if these have been shelved. I would like to receive my information electronically. "
"1834","2016-01-14","Food Business Hygiene ","Academia","Not held","n/a","2016-01-20","3","I am looking to obtain a copy of a completed HACCP used by a manufacturing plant that produces pate, in particular crab pate if obtainable. I am not interested in company names, if this has to be removed for confidentiality, just HACCP details.The reason for the request is prompted by a University project that is focused on the use of HACCP in the food industry. By analysing a 'real' HACCP, I feel I would gain better understanding."
"1835","2016-01-18","Microbiological","Member of the Public","All provided","n/a","2016-01-29","9","1. Figures for antibiotic resistance detected in E.coli samples in poultry meat (including details of the antibiotic concerned, e.g erythromycin or ciprofloxacin) for any years available between 2005 and the present day 2. Figures for antibiotic resistance detected in salmonella samples in poultry meat (including details of the antibiotic concerned, e.g erythromycin or ciprofloxacin) for any years available between 2005 and the present day.3. The number of retail poultry meat samples tested by the FSA (or others on its behalf) as part of its 2014-2015 campylobacter screening programme found to be antibiotic resistant (with details of the antibiotics concerned e.g erythromycin or ciprofloxacin) . https://www.food.gov.uk/news-updates/news/2015/14003/campylobacter-survey-results-12months4. If available, similar antibiotic resistance data (with details of the antibiotics concerned) for any tests on retail poultry meat campylobacter samples carried out since, e.g May 2015 - 20165. Similar figures held by the FSA relating to any previous retail poultry meat campylobacter tests (e.g. antibiotic resistance data, including the antibiotics concerned eg erythromycin or ciprofloxacin , for samples tested historically between 2005 and 2014)"
"1836","2016-01-18","Operations","Academia","Part withheld","s38","2016-02-08","15","I am aware that around 80% of slaughter houses performing religious slaughter do in fact use the same stunning methods as non religious slaughter. I would like to ask the reasoning behind the other 20% choosing not to stun. This is because, as far as I am aware there are no labelling laws to show if the halal product was stunned or not, so a halal consumer could be purchasing either type.I can clearly see the list of all slaughterhouses in the UK on your Website, however, is there any information on which halal slaughterhouses use stun and which use non-stun methods? I ask this as I believe consumers of meat should have an informed choice of what animal products they are eating. As law does not require this information to be stated on labels, I would like to be able to inform my students and others who ask me about slaughter houses and the slaughter methods they adopt, this will then allow an informed consumer choice."
"1837","2016-01-22","FHRS","Member of the Public","Not held","n/a","2015-02-05","10","Can you give me an analysis of the length of time restaurants have remained open for business following a zero rating for food hygiene and how many restaurants were shut down as a result of the rating.To be precise:I would like data for 3 years - 2013/14/15.I would like to know how long restaurants were able to continue in business with a zero rating before either being shut down or re-inspected and found to be acceptable (no major hygiene issues)The data should include numbers of restaurants and time open e.g. 2000 restaurants zero rated for > 1 month < 2 months; 1500 restaurants zero rated for > 2 months < 3 months and so on for the three years mentioned above. Thus including all the restaurants in the database.How many restaurants were shut down in the 3 year period for failing to improve hygiene standards. Please could you include the standard procedure for inspection and enforcement."
"1838","2016-01-20","Operations","Media","Not held","n/a","2016-02-17","20","I would like to put in a Freedom of Information (FoI) request for an abattoir cause for concern list (as below) for the year of 2015 please:http://www.food.gov.uk/about-us/data-and-policies/foia/foirelease/foiaeir2011/listabattoirscauseforconcern "
"1839","2016-01-27","Security and Estates ","Member of the Public","Rejected on cost grounds","s12","2016-02-24","20","In the light of the recent ruling by the European Court of Justice that the Safe Harbour agreement is invalid, can you please supply the following information:1) Does The Food Standards Agency Store and process UK/EU citizen data in the US?2) If so, approximately how much UK/EU citizen data is stored in the US?3) If so, which service provider is storing and processing that data?4) If so, was the Safe Harbour Agreement Safe used to determine the ?adequacy? of transferring the data to the US, under the Eighth Principle of the Data Protection Act?5) If Safe Harbour was not used as an adequacy mechanism, what was the mechanism used to ensure compliance with the Data Protection Act?"
"1840","2016-01-27","FHRS","Media","Not held","n/a","2016-02-09","9","I would like to make a request for the following information- if necessary via an FOI request.  According to the national Food Hygiene Rating Scheme database, companies can appeal against the rating and / or request a re-inspection. I would like to know for the following businesses - Sainsbury's, Tesco, Asda, Morrisons, Aldi, Lidl - in how many instances they a) appealed against a rating b) requested a re-inspection.  On point A: I would like this information to include what the original rating was, why it was given (i,e, 0,1,2,3,4,5) and whether you changed the rating following the appeal. If so, I would like to know what the revised rating was and what informed the change.  On point B: I would like this information to include the date of original inspection and the original rating given, with reasons why. I would also like the date of the re-inspection and the new rating given, with reasons why the particular rating was given.  I would like this information in excel format broken down by retailer and in date order from 2010 - 2016 inclusive. "
"1841","2016-01-29","Chemical Contaminants ","Member of the Public","Not held","n/a","2016-02-15","11","1. How many food products contain the ingredient Benzocaine.2. How many other products contain Benzocaine which are used in human consumption 3. How many products contain Benzocaine which are used in animal consumption."
"1842","2016-01-28","Consumer Protection","Legal","Not held","n/a","2016-02-25","20","In the 'Trust me I'm a doctor' programme aired on the BBC 2 on 20th January 2016 it was stated: ?They (the BBC) had passed their findings on to the FSA and they have commissioned local authorities to run further tests. They have taken more than 500 samples of supplements and the results of these tests have been analysed and will be published very soon?.QUESTION FOR FSAQ1. Have the FSA received any information from the BBC in relation to their findings on botanicals/herbs (previously discussed with the FSA in FOI requests sent 30/11/2015, 7/12/2015 and 6/1/2016) that have now resulted in the FSA directly or via commissioning/ instructing local authorities (E.G. TSOs) to sample food supplements in relation to the findings of this programme?Q2. If yes when will these results be released and what specifically have the FSA or its related organisations assessed as part of this investigation?"
